Name,Width,Tag,Price,DiscountedPrice,InStock,Image
BASE FULL HIGHT 09,9”W*34-1/2”H*24”D,SC-B,196,149,TRUE,zla4wp8pa90b16aqhssn.jpg
BASE 12,"12”W*34-1/2”H*24”D	",SC-B,228,176,TRUE,mbxtxqf13clc9tppfxay.jpg
BASE 15,"15”W*34-1/2”H*24”D	",SC-B,247,190,TRUE,idkmxybh0swdawt7rdfy.jpg
